J.-H. Rosny
Stephen King
Stephen Hawking
Margery Williams
Irvine Welsh
Graham Greene
Don DeLillo
J. R. R. Tolkien
Christopher Tolkien
Mags L Halliday
Yevgeny Zamyatin
Spencer Johnson
Tom Clancy
Robert M. Pirsig
Neal Stephenson
M. K. Wren
Jill Paton Walsh
John Kenneth Galbraith
Harlan Ellison
Eoin Colfer
Roger Zelazny
Kurt Vonnegut
Kurt Vonnegut
Stella Gibbons
Stephen King
Samuel R. Delany
Greg Egan
Michael Moore
Theodor Fontane
Nick Hornby
Geographers' A-Z Map Company
J. K. Rowling
J. K. Rowling
A. J. Cronin
Esther Freud
Nick Hornby
Diana Wynne Jones
Gurcharan Das
Stephen King
Marsha Hunt
Roger Zelazny
Jim Glenn
John Berendt
Kurt Vonnegut
Gore Vidal
William S. Burroughs
David Lodge
Philip Roth
William Gibson
Greg Egan
Irvine Welsh
Roger Zelazny
Alfred Aho
Jeffrey Ullman
Greg Egan
Candace Bushnell
Roger Zelazny
Terry Pratchett
Jonathan Franzen
Lawrence Durrell
Terry Pratchett
Iain Banks
John Wyndham
Terry Pratchett
Frederick Forsyth
Mika Waltari
Tom Wolfe
Helen Garner
Frederick Forsyth
Isaac Asimov
R. L. Stine
Joseph Campbell
Frank Herbert
Bill Ransom
Joanna Cole
Joanna Cole
China Miéville
Stephen King
Stephen King
Terry Pratchett
Kim Stanley Robinson
Mil Millington
Roger Zelazny
Philip Gourevitch
Gary K. Wolf
Joan Slonczewski
Franz Kafka
Wilmar Shiras
Stephen King
James P. Carroll
J. M. Coetzee
J. G. Ballard
K. Eric Drexler
Terry Pratchett
Terry Pratchett
Peter F. Hamilton
Rohinton Mistry
Terry Pratchett
Stanisław Lem
Isaac Asimov
Daniel Dennett
Robert Silverberg
Douglas Coupland
Clive Hamilton
Terry Pratchett
Norman Levitt
Paul R. Gross
Harry Turtledove
Robert Bly
Bharati Mukherjee
Robert M. Pirsig
Greg Egan
E. M. Forster
Ursula K. Le Guin
Alexander Shulgin
Ann Shulgin
Terry Pratchett
Neal Stephenson
Tom Clancy
Derek Parfit
Tom Clancy
Patricia Highsmith
Isaac Asimov
Robert Silverberg
Thomas Keneally
Hermann Hesse
Neil Gaiman
Joseph Heller
John Brunner
Robert A. Heinlein
Greg Egan
Terry Pratchett
Nathanael West
Carl Sagan
Betty MacDonald
Ursula K. Le Guin
Joe Haldeman
John Maynard Keynes
Eliyahu M. Goldratt
Arundhati Roy
Ruth Park
Rick Moody
Terry Pratchett
Terry Pratchett
Pat Conroy
Oliver Sacks
Jimmy Cauty
The Timelords
Mikhail Bulgakov
Larry Niven
Ursula K. Le Guin
James M. Cain
Bill Gates
Peter Rinearson
Margaret Atwood
Kurt Vonnegut
Mary Doria Russell
Thomas S. Kuhn
Alan Garner
Vernor Vinge
Stephen Baxter
DBC Pierre
Evelyn Waugh
Thomas Pynchon
Terry Pratchett
Stephen King
John Kennedy Toole
James A. Michener
Ursula K. Le Guin
James Ellroy
Sinclair Lewis
Kathy Tyers
Richard Wright
George Orwell
Carol Ryrie Brink
Roland Barthes
John Holloway
Roald Dahl
William Gibson
Steven Levy
Daniel Cohen
Walter Jon Williams
Margaret Forster
Stephen Baxter
Joe Haldeman
Isaac Asimov
Frederick Buechner
Steven Levy
Gardner Dozois
Jack Dann
Dr. Seuss
Charles Murray
Aleksandr Solzhenitsyn
Ralph Ellison
Pierre Choderlos de Laclos
John Crowley
Sinclair Lewis
Stephen King
William Gibson
Terry Pratchett
Elie Wiesel
Aleksandr Solzhenitsyn
Stephen Baxter
Michael Crichton
Helen Hunt Jackson
Brian Jacques
Stuart Moore
Brian Jacques
Stuart Moore
Ursula K. Le Guin
Valerie Solanas
Charles Stross
David Almond
Olaf Stapledon
Troy Denning
Ursula K. Le Guin
Ursula K. Le Guin
Robert Frank
Nirad C. Chaudhuri
John Lott
Isaac Asimov
James Ellroy
Robert Ludlum
Chaim Potok
James Ellroy
Philip K. Dick
Peter Senge
Lawrence Ritter
John C. Wright
John C. Wright
John C. Wright
Jerry Pournelle
Larry Niven
C. S. Lewis
Christopher Hitchens
Michael Ende
Sebastian Junger
Richard Adams
Roland Barthes
William L. Shirer
Isaac Asimov
Isaac Asimov
Neal Stephenson
Colleen McCullough
Stephen Baxter
Kathy Tyers
Kurt Vonnegut
Jack Kerouac
R. A. Salvatore
Jack Kerouac
Sharon Creech
William Pokhlyobkin
John Irving
Scott Smith
Alastair Reynolds
Peter Singer
Oscar Zeta Acosta
Mark Bowden
Katherine Paterson
Richard Morgan
Neil Gaiman
M. J. Simpson
Michael Moore
Isaac Asimov
Al Gore
Raymond Chandler
Robert A. Heinlein
Qian Zhongshu
Katherine Dunn
Yann Martel
Kingsley Amis
Chuck Palahniuk
